"protein.id","Adrenal","BAT","Brain","Eye","GAT","Heart","Kidney","Liver","Lung","MAT","Muscle","Pancreas","Prostate","SCAT","Skin","Small","Spleen","Stomach","Testis","Thymus","Tongue","Urinary"
"Q8VCX2",924838,581758.2,353706,916325,619188.8,285758,1236562.2,1159485.8,813212.5,707729.8,NA,3402932.5,3096760,1190950,848969.5,3408000,1517397.5,1336545,285902.8,733365.5,134929.9,1485183.3
"Q8VD00",856225.3,714882,439720.8,811884,607012,NA,1316952.5,2877692.5,1141371.2,1388332.5,NA,19301535,1268875,512373.8,1771220,4657332.5,1766534.8,1778387.5,3167007.5,794890.2,NA,211752.7
"Q8VD31",5071736.7,18159050,864398.2,2751433.3,8004797.5,895372.8,3486272.5,9601412.5,4439727.5,8246685,2085462.5,3311832.5,2344725,8404720,5610467.5,14136800,9078140,1002922.5,418399.8,14570425,747987.5,1933103.3
"Q8VDI9",2068066.7,2350382.5,1148870,2807646.7,3243190,449298.8,2497937.5,1230711,1443230,2330997.5,320185,5268535,1337602.5,2861202.5,1509020,3086145,1849642.5,1301790,1708335,2016320,563203.2,1234183.3
"Q8VDN2",129040667,46620500,393605750,262959333,74746000,277559000,505528250,86426700,81236100,68109975,36145100,168712750,162975250,69634450,120252750,493500750,101153000,98723775,47970525,152517250,83784675,140916000
"Q8VDP6",17473333,15061950,21291475,37745300,19881775,6560520,22544650,13096900,19448600,13736375,4113135,38523525,13316700,12867300,10828650,31850050,19840325,10009570,5824912,21462300,6507578,16993300
"Q8VDZ4",3587360,2042635,5185902,3488283,2202592,1450498,2468000,2192065,2441032,2399778,1644702,2363880,2687650,2197070,1789895,1960530,2314890,1138410,3145858,4177230,1363198,4350780
"Q8VE91",248627.7,244331.8,452975,473647,NA,1837855,1983272.5,95921,385388.2,376976.2,4034495,2746327.5,105720.3,100136,1082035,484198.2,526334.8,204804,741774.5,745036.5,1124342.5,595044.3
"Q8VEF1",713358.67,977183.25,1469855,1383170,331944.75,191400.75,245344,256181.75,233641.25,674151.25,201948.25,752284.25,189745.5,658549.75,571270.25,235835,971634.25,314669.75,617132.5,1765105,NA,94992.63
"Q8VEK0",5217147,3451558,6854620,6054650,4165902,2565055,10931125,29136875,8472358,3200158,4056222,2723735,3713808,4840272,4641940,4381215,5174715,1832098,2951118,5706028,2181730,3325673
"Q8VEK2",2910196.7,4204287.5,3043417.5,4707203.3,2515607.5,788347.8,1415467.5,1509540,684839,1760672.5,523755,792245.5,624242,2235680,756431,1347445,718895.5,820113.8,728904.5,1192520,256696.5,1205610
"Q8VEM1",438336.7,271635.8,605490.8,374348,388865.5,156096.2,359822.8,615100,255112.5,336414.2,259732.5,194343.5,423742.5,355929.5,265843.2,185104,609310.5,323362.5,250941.8,601349.8,165397.2,334857
"Q8VEM8",134308667,93926875,28906825,75892467,49096550,367499250,70172625,60705775,30720350,40992350,149301000,90448300,50568975,74541175,58927700,31068600,21436825,42742425,11529050,18313200,282340000,31802433
"Q8VEW1;Q8VFZ5",950475.3,542485,NA,853373.7,1003362.2,203253.2,5602377.5,689068.2,385386.8,1878422.5,NA,83823.3,532775.8,1463159,922692.5,1161364.5,1808335,798131,3817300,3846615,447065.2,672179.7
"Q8VGD6",NA,474614.2,NA,NA,NA,1351100.8,NA,NA,808754.5,682948,NA,NA,NA,NA,598309.8,NA,435272.5,NA,NA,NA,NA,NA
"Q8VHB5",NA,NA,106200.33,579873.67,NA,NA,768184.5,461167,70516.45,135729.75,NA,2507102.5,108090.33,NA,100257.48,8412397.5,54555.6,25188975,NA,NA,NA,NA
"Q8VHE0",6266540,5471937.5,3159765,6399096.7,6930367.5,1908612.5,8388877.5,7078835,4843465,5699827.5,779523.2,21756400,1872835,5520707.5,3641177.5,8835632.5,5119842.5,2598352.5,5321777.5,8694480,1387847.5,2545903.3
"Q8VI59",1093690,636590.8,1196510,1144316.7,956232.2,203486.5,711351,416890.8,384721.8,796325.8,NA,579780.8,630577,900545,683827,769996.2,1183160,398515.8,665813.8,1453672.5,288951.2,787921.7
"Q91V01",25797367,24254025,1828210,19849300,30917925,5511495,44705025,20166000,8847578,22673150,1371555,11108338,15954500,19626425,18708525,53326525,8984918,6538658,20960350,16993700,2459485,11901533
"Q91V04",2789026.7,1209090,407067.2,1374800,2601875,459372.2,3290077.5,3956525,2275222.5,3035442.5,312352.2,53760425,3168877.5,2143647.5,2785167.5,5844885,3450840,3444770,1399910,5122490,663744.2,1811506.7
"Q91V61",40308800,6804320,16204450,22323400,16119275,4035825,4907238,1452608,18820175,15304900,9964310,11649750,45407475,23275775,69348325,4595892,9721218,15794350,3291750,3984045,17383750,16078200
"Q91VC9",10668233.3,13795425,777838.5,6241473.3,5817355,24230600,5572762.5,3919335,1563007.5,5886095,7915775,1635382.5,5535882.5,8208337.5,5881135,2043770,1804542.5,3629482.5,2091640,1731680,23389125,3195470
"Q91VK4",4869166.7,372276.5,10549892.5,4905103.3,767157,680658.5,791098.5,452894.5,1115400,804017,323360,546399.2,1722257.5,873457.5,919495.8,712084,1808705,857416,933338.8,3178650,382684.8,1045270.7
"Q91VS7",79931933,145013500,3052200,14110767,200180750,7224612,9972770,378760000,75544775,102044650,4503792,8924748,9480692,98623400,38253975,23332575,7824168,2998510,16638300,20130700,2955292,33052867
"Q91WR6",177487.33,222445.25,NA,NA,309948.5,NA,158712.5,79024.65,77611.15,156712.75,NA,112807.35,48348.4,171941.75,56309.95,120705.67,73733.07,NA,24446.1,88324.63,NA,52832.17
"Q91WS0",16436267,44754700,3967790,14178067,8628015,56231300,23616500,15466225,6022285,8884272,68630400,9081900,8474065,15560100,13008150,6416420,1961655,6002032,3442412,4409488,33256350,5221607
"Q91X21",2514383.3,2253300,209189.8,2039023.3,1291872.5,695503.2,1509440,1538237.5,889892.2,1553685,728354.5,2315002.5,3554020,1819382.5,2299477.5,4701945,1942865,2598417.5,1771995,1813907.5,963731.2,2088980
"Q91X78",3009450,1205917.5,1800495,1730703.3,3223035,588140,6301625,1730662.5,1443502.5,1981750,384916.5,545210.2,1172130,2093932.5,2302357.5,6195645,1806182.5,3188775,3417925,2018872.5,535049.2,2380823.3
"Q91X86",249184.67,NA,NA,2722753.33,234402,NA,88031.1,99426.35,130694,152046.75,NA,74008.07,NA,103438.12,NA,1026964.25,167498.75,821087.25,NA,123792.75,NA,292278.33
"Q91X88",1182383.3,1361255,161392,1475453.3,413755.5,355905.5,584436,470441.8,491476.8,388007.2,352886.2,983661.8,1983890,555310.8,745528.2,779821.5,370608.8,572324.5,883941.5,367852.8,624861.8,695030.3
"Q91XC9",8974253.3,5588477.5,1226402.5,3364583.3,8965342.5,2412380,3231515,4634522.5,1125245,7217322.5,1209312.5,544016.2,992938.2,9612757.5,3835687.5,2631595,3050275,1004838.8,3421722.5,5193032.5,2452427.5,1821290
"Q91XE8",32642600,47396125,1885825,5032957,68924450,7679052,44112925,87527475,9920630,24202975,3422012,10789100,8669502,29631300,7211958,10665755,2753798,2891682,12351025,4915928,1409868,7662030
"Q91XL3",1378373.3,599474,353616,741872,879045.5,195115.5,790460.5,524277.8,291915.5,529539,483710.5,464969.5,729537.2,1015159,522275.2,551058,369907.8,456510.5,506351.2,318248.2,226617.5,557755.7
"Q91YT2",988027.67,780514.5,450146,1480243.33,934397.75,343865,2137057.5,1336760,372509,624004,1105437.5,2024632.5,305875.25,588241,94110.47,1626495,269593.5,385425.5,340224.25,783476.5,313552.5,422137.67
"Q91YX5",1466423.3,1223857.5,2974437.5,3696936.7,11159790,943775.5,2519687.5,1982900,968572,2342180,140593.3,781093,837268.5,5288352.5,1058653.2,11708575,1216675,300923,1215607.5,1136862.5,836066.8,1921493.3
"Q91YY2",535279,313977.2,315376.2,771664.3,155819.5,254363.5,364787.5,395999.5,149839.5,186022,NA,277441.2,1788362.5,169851.2,164254.2,499498.2,341744.5,443988.8,240157.8,230718.8,145811.1,591909.3
"Q91ZB5",NA,NA,NA,156861.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,248571.8,183608.5,NA,NA,NA,NA,211173.8,NA,NA
"Q91ZB7",352838.33,NA,323741,422713.67,NA,NA,82407.05,119369.5,146701,145540.25,NA,150292,100893.75,139874.67,73909.73,45085.75,503382,26841.9,NA,534576.25,NA,62671
"Q91ZB8",NA,24549.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87503.47,184883.5,NA,NA,NA,NA,NA,NA,NA
"Q91ZD4",143621.33,NA,264391.25,209888.67,151906,NA,182137.5,NA,284627,177110.25,NA,42396.9,97614.93,106517.7,997693,146426,327227.25,95536.12,NA,554390.75,243175,229486
"Q91ZN5",4380230,2400952.5,372599.8,3198370,1592982.5,978538.2,2191842.5,1550110,1089802.5,1865605,1238130,4486830,11564300,2109025,3726307.5,5043755,1855087.5,3170732.5,886226.5,2504942.5,1449937.5,4164326.7
"Q91ZU6",463753.3,255652.2,2072275,1478450,633349.8,675477,1164392.5,609540.5,399773.8,567670.8,712230.5,123727.1,324503.8,448415.5,445126.5,267555.8,193889.2,1078442.5,506038,359480.2,650475.5,1143160
"Q920L1",26476733.3,337096,3499635,4882010,3387040,229201,2795920,8820557.5,1283695,1958005,NA,1643495,3192112.5,1841367.5,717169.8,2913367.5,1998255,573925,7031165,1581272.5,335469.5,2374690
"Q921I0",1052591.3,2051227.5,174038.8,2884866.7,935546,547763.8,2543922.5,3349417.5,628523.5,765229.8,1308670,787922,811064.5,1038841.8,548712.8,1667995,987917.8,805920,725356,1442945,282588.2,2189230
"Q921N7",4522253.3,12322900,200293.7,949613,3080102.5,13211200,3058060,2685415,445675.5,1956285,3914085,815850.8,2741697.5,2983025,2657822.5,1240237.5,443951.2,952889.8,657757.5,951933.5,13142100,949944.3
"Q921T2",2233970,2031995,667059.2,2755030,3096002.5,751242.8,2318247.5,2292367.5,1057652.8,3457395,4418420,1302155,633609.2,3093995,5541557.5,3313497.5,4528270,1330440,4418495,4759437.5,748245.8,819541.7
"Q921Y4",1469163.3,1003901,474654.2,799546.3,2430105,204908.8,914815.8,866322.2,1018637.2,1813290,1197592.5,2582365,2714275,1836275,1728627.5,819288.5,1197473,812546.5,334215.8,1431922.5,744881.8,1324833.3
"Q922J6",245953.3,278367,18369375,1178670,386120,270178.8,731806.2,253642,2780822.5,679195.8,247170.2,122468.4,8036382.5,301639,638643.8,1396402.5,782641.5,1869647.5,270633.2,844228.2,564448,1885666.7
"Q922J9",2545130,378605.5,1388177.5,11129666.7,2180817.5,483273,4782252.5,120902.9,1434042.5,3461187.5,156075,235862,310363.5,3191055,1306225,570431.2,5653805,5750627.5,1002088.2,6031710,1105977.5,1364170
"Q922P8",319267.33,NA,1644462.5,431992,NA,NA,NA,NA,NA,NA,NA,NA,46897.68,NA,NA,NA,31426.45,31313.45,120112,66402.23,195889,54249.37
"Q922Q8",32368800,26948400,19728075,38520267,36504250,5698638,11741735,15837800,16904050,25146875,14309150,186939000,15973550,31537125,8800205,38884350,21231325,23228225,13471138,36947775,4255712,15624533
"Q923J1",645730.3,415071.5,380422.5,513040,702144.8,230015.2,1048698.2,233939.2,400646.2,568217.8,NA,531096.2,331283,783217.8,423753.2,427675,890582.5,261641.2,333729.8,1490492.5,269258,534240
"Q923W9",NA,NA,NA,NA,NA,NA,NA,NA,NA,34553.45,NA,NA,36391.9,NA,87254.25,NA,NA,NA,NA,NA,NA,68928.1
"Q923Z0",2298383.33,1165645,3228037.5,1492320,819832,148446.67,77098.98,NA,578655.5,808737.25,166875.75,31598.65,438756,1314335,215686,57742.15,137588.75,39449.33,1521002.5,201193.5,379999.75,268042
"Q924Z4",16991133,20357225,2137325,5111857,14287550,1233808,20478950,32992900,9003680,9992910,1234990,2869232,3848290,13283775,4018740,17500450,8327918,3409105,2661762,6488108,1374300,2305093
"Q925I1",13439333.3,26315375,1398465,3658306.7,7463167.5,19186100,4817047.5,10982325,1821267.5,9659575,12986875,3769127.5,5340485,12658425,3303522.5,2899710,2834482.5,2707007.5,826462.2,2076902.5,18312000,3763740
"Q925U4",307068.67,266465.75,NA,52129.15,393330.75,NA,426975.25,386946.5,154085,331533.25,NA,759985.75,131685.3,350376.25,161672.25,482762.5,282447.25,148556.75,144652.75,1484702.5,NA,156579.33
"Q99JG2",612623.33,425137.75,15122975,779974.67,NA,NA,NA,NA,90769,170481.33,207778.25,NA,566177.25,188313.33,571751.5,388321.75,227315.5,349432.5,29976.75,NA,NA,128277
"Q99JH8",436985,577998.25,71800.77,314470,1066592.5,564568,1122245,835850.75,503490.75,630910.5,226628.25,1218842.25,1184271.25,528682,454340.75,792021.75,231242.5,396420.5,232347.25,354640.75,353826,274977.67
"Q99JP7",865432.33,175837.75,15550725,11508590,980475,105111.85,106617.57,91859.88,158827.75,156399.25,387003,229331.75,191776.25,197524,196278.75,154085.5,264617.75,201416.75,1332847.5,148133.25,267961.25,105873.47
"Q99KC7",NA,NA,NA,NA,NA,NA,NA,103865.05,145118,NA,NA,711076,154592.25,NA,33623.45,55654.47,NA,161720,NA,NA,NA,93708.13
"Q99KF1",29631300,36390775,14537675,28411700,37596075,11246725,38713375,57731950,19607325,28682175,40977700,20270050,31096000,41789775,36789025,31604850,31467450,18755575,11816450,26434150,12575925,30068167
"Q99KG5",516332.3,NA,226916.8,768138,349771.8,111566.8,720289.5,9796457.5,537692,373791.5,NA,2278727.5,1496022.5,180646,565324,2385215,232131.8,1940085,1470597.5,856981.2,193429,1975456.7
"Q99KI3",5175073,7977518,2981320,4203360,6093250,1840158,4448490,2717982,2052488,4051492,1350838,4734872,1758180,4219688,2612072,2935002,2356082,1542180,1403240,4385738,1247825,1950067
"Q99KU0",1415546.7,1698027.5,1941452.5,1565410,2433617.5,767169.8,3104300,3263317.5,1920205,1129999.2,2521145,3084385,1678835,1600185,1474675,10405277.5,768409,1501752.5,1239817.5,912402,1031302.5,774392
"Q99KW9",6669637,5355125,9570802,7805257,6167648,2255922,5288238,6227722,2978560,4267752,1351260,4466565,2760388,7342528,4122468,3462788,3736795,1679705,1786590,3395158,2223618,2319323
"Q99L43",13054667,10885000,28261350,41114233,18979925,14413775,10536660,11951300,10112448,10899515,3800572,4068878,6335078,9054905,5920575,8874612,10731598,4363190,2933235,12472675,2576218,6967390
"Q99LG1",191404,NA,494881.8,849889.7,108273.6,248492.2,369305.5,482956,208055.2,232194.5,103690,524462.5,239651.8,158485.8,241009,601861.5,1119654.2,1491755,205249.8,472064.5,NA,903191
"Q99LH2",1144656.7,1126376,1770415,1659223.3,1442962.5,869286.2,1409882.5,725802.5,1140275,1182230,211258,1762095,603249.8,945093.5,1292412.5,1247455,803661,948034.2,492985.5,1218500,373533.8,592970
"Q99LI2",4549600,2969035,2432042.5,5764253.3,3304840,2476710,5432892.5,6566977.5,3575082.5,2655907.5,3199377.5,1970755,1948965,3666380,2418965,4820477.5,5332095,1538682.5,2526502.5,4204577.5,994369.2,3770916.7
"Q99LJ8",113407.27,78084.95,64206.25,59004.3,NA,85800.9,454637.75,NA,32326.8,44931.18,NA,114229.5,23944.15,48870.9,NA,154517,64863.6,78779.95,73014.65,121012,NA,42636.33
"Q99LR1",13447033,12633300,28038100,20407400,17635150,3503560,6311005,3938050,4614295,12784050,3559770,2290962,21247575,20380050,7545090,14861450,17791625,5270702,6595468,16818425,2734522,36015500
"Q99M02",25526.3,13966.45,32089.9,44127.8,NA,NA,NA,NA,20604.87,NA,NA,NA,NA,NA,NA,NA,83067.57,NA,NA,30065.3,NA,NA
"Q99M08",172237.67,187097,197334.75,267086.67,234270,57584.38,232612,101872.7,114494.48,156549.25,185403.83,1833015,110480.55,120227.77,789064.75,244099.5,88578.38,127191.5,108407.8,164274.5,117162.38,122263.67
"Q99MQ3",93844.4,NA,194973.7,NA,NA,83572.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218619.2,NA
"Q99MT6",NA,NA,NA,NA,861977.2,NA,246417,86452,NA,187295.8,NA,NA,NA,127882.7,NA,NA,73391.6,NA,NA,NA,NA,NA
"Q99P65",3771253.3,2139490,676727.5,993446.7,6720617.5,630826.5,9499932.5,1478147.5,1038000.5,4359685,458654.5,2219562.5,2821740,9503595,9168995,1093387.8,8811950,1153780,1112225,11504400,1422695,1554483.3
"Q99PD7",83052.7,348160,305848,395712.33,99445.2,NA,NA,NA,69019.83,47632.63,NA,46680.45,55400.65,62560,NA,142820.75,42544.6,24422.6,105369.73,49879.3,NA,94296.37
"Q99PL5",1741943.3,1445155,2466605,1763873.3,5154792.5,1034378.8,698417.5,1406580,1843415,4675852.5,796440.5,42312675,4755905,3142942.5,1295377.5,855685,1342917.8,5034132.5,1389190,1036507.5,1779635,3421943.3
"Q9CPQ1",44185267,179604750,7780802,20260867,24232100,307047500,38136250,45400800,12054625,34843775,144721250,26140750,33586200,46620125,47803850,13952225,7875348,22049700,4690118,11636950,207053000,16446633
"Q9CPQ3",18691133,36601375,4966892,6885003,9740455,28886400,3743740,8491038,3015758,9220468,12662348,5254620,10187135,10531568,6365688,4402245,4527285,4430532,2317150,4144228,22646525,5768847
"Q9CPU9",1958540,1245179,192838.6,856307.5,2363892.5,721982.2,1321348.5,3562012.5,1292811.5,2801490,373092.8,2387290,2057250,3234797.5,2272530,586115,1747245,1386813.5,1133022.5,1164017.5,747348.5,543518.3
"Q9CPV0",517970,NA,NA,965833,517561.8,NA,514761.5,NA,355322.8,272736.2,NA,172284,310626.2,173731.8,412617,108269.2,208268.5,98015,949813,338486.8,NA,260336.7
"Q9CPV9",156574,166365,5212050,735966,564295,130108.6,NA,NA,192799,494119.5,107676.43,288899.25,269627,1073627.25,626831.75,118363.57,1401542.5,98043.12,176598,1225300,285709.75,287820.33
"Q9CPZ6",6124933.3,21230975,1133334.2,6057426.7,13616275,1111398.8,2927615,6504580,1942745,7760087.5,1982092.5,3593197.5,2443755,11181075,2769312.5,6742660,2069792.5,1529865,2321247.5,2207245,806027.8,2628216.7
"Q9CQ44",160119,131805.63,NA,175994.67,160370.75,NA,152048.25,73641.1,68666.68,61936.8,NA,73696.12,88404.05,75334.17,101579.45,39174.7,NA,26208.05,147678.5,70163.67,NA,NA
"Q9CQ54",25224133,86598625,4055875,9511883,16179925,188279500,15871525,17505550,3723012,15877950,90680500,12591478,23745675,21840975,22399600,4436070,3510475,8362638,1472035,5006368,133033500,7762373
"Q9CQ56",5744393.3,6870222.5,2453355,5580630,3764227.5,2691847.5,4140880,4545357.5,1951665,3561697.5,4068450,17656800,2167750,4621912.5,2523717.5,4388665,3541922.5,2392737.5,3445802.5,4293825,900553.2,3061600
"Q9CQ69",62527133,188036250,13081800,25781200,30401675,177102375,36106900,54857400,11236200,32528125,120311175,14912425,36745550,53145325,52452500,20344250,8375320,17170150,6114730,15934000,153478500,18276533
"Q9CQ88",3833306.7,3504245,1416915,1865283.3,2182145,710065,3867117.5,11515100,997407,2155345,316423.8,7942020,2111935,4128555,2415705,5869182.5,4425202.5,3533100,680677.8,1940052.5,438596.8,1796236.7
"Q9CQ91",7000706.7,46370550,1555275,2172006.7,9679380,45799300,11537057.5,10993225,2934097.5,9699302.5,74520375,1941720,9388960,11929627.5,12858200,12864400,1507562.5,6106300,602179.5,2260012.5,88265975,2171050
"Q9CQ92",3395303.3,1198112.5,474006.2,2752010,1612070,3540347.5,1132057,984102.5,619239.2,1221285,3546790,2136543.8,1395357.5,1248775,1421000,786853.2,854758,1372172.5,737425,1104737.8,3524027.5,1307100
"Q9CQB5",30274900,33140600,12114750,40004067,21645375,29078225,49085025,41224925,10581820,18127175,60143775,51228725,23532050,17621908,17613325,40911500,28033950,12039375,9826825,35284900,15482150,10983767
"Q9CQC7",32443900,59249600,11844700,14459267,25096400,99057750,14675300,33882075,6346592,26422700,93148975,11866700,41384150,27682050,48546550,12291150,4948350,26480175,2877725,8262918,218433250,10867780
"Q9CQE2",1614483.3,2428192.5,171866.2,746400.3,623367,5205045,679373.2,428895.5,344189,551871,2423310,404425.2,1021213.5,977479,701093,314586.8,212970.2,198295.2,110578.7,323908,4699940,429284.3
"Q9CQG6",876893,1147105,542390,1517790,1635307.5,513219.2,2210465,660247.5,475743,883245.5,419736.5,1281190,350421.8,914332,602593,1288500,495595.5,402698,874094.5,795944.8,518113.7,330020.7
"Q9CQH0",907793,NA,NA,705931.7,904758.8,NA,11093395,924657.5,414892,NA,608033,1307660,2523232.5,NA,309592.8,343628.8,353728.2,518941.8,874548.8,199451.8,778286.5,1954503.3
