"Protein1","Protein2","imp_euclidean","imp_mae","imp_absdiff_std","imp_reldiff_mean","imp_pearson_0","imp_pearson_1","imp_pearson_2","raw_absdiff_max","raw_reldiff_max","raw_logdiff_mean","raw_logdiff_median","raw_pearson_3","raw_pearson_4","raw_pearson_5","raw_pearson_6","raw_zscore_prot1","raw_zscore_prot2"
"A2A699","E9Q9K5",105542698.642658,6201058.89543182,21630462.8890004,0.668976397831879,-0.0318490820190831,0.0564158825036247,-0.125590329779016,104773220,0.989969648918815,13.3491048827835,13.1586859801934,-0.709534836176788,0.0153069740621779,0.704294834202665,-0.223445689835631,0.747986257230021,0.396212283303462
"O08532","A2AF53",305185683.620058,27815002.6579091,58820785.3196831,0.954636984230614,-0.196108894318515,-0.0976992150140599,-0.347618475254534,291976723.37,0.999421339367113,16.1856972756805,16.1250362941805,-0.749104575608546,0.310811652297434,0.662343839953672,-0.17464241392582,0.794270946845852,3.02241440477793
"G5E829","O70228",88050494.9247516,13640270.7727273,12897561.3408834,0.581165180657719,0.662818631839486,0.559005330795123,0.760588155699696,63821060,0.827688227936684,16.066084385876,16.170919360207,-0.691375897707342,-0.588868115452686,0.722605919557441,0.791716396564481,-0.0875534393977738,0.539418542775617
"O35114","O70503",122908002.215015,19349282.4090909,17670845.2157494,0.389158705432777,0.339517862577632,0.482270075971812,0.230229803712382,63448187,0.808625799891729,16.3069053481435,16.4225396327048,-0.707794026171611,-0.719513586305236,0.705131109860581,0.752580951936159,0.47276744070738,-0.337259596720433
"O08581","O88455",74405601.3484926,7771967.45283636,13829015.9284678,0.746173913323632,0.0499584459983264,0.167386257733698,-0.00978150846226017,68526290,0.995119357852871,15.3947763179281,15.58057080909,-0.211418377212206,-0.959699167724853,-0.0955315642317313,0.952021953188212,0.884311181370584,0.00138354388409119
"O35659","P04756",1165703.63957612,107232.968540909,224204.550010081,0.449074593386365,-0.166744061183255,-0.189378923011106,-0.157219365047318,0,0,0,0,0,0,0,0,0,0
"O55242","P10417",72080255.2129077,9651409.82061818,11958773.0025746,0.77459584062713,0.345481521247735,0.434585653120138,0.225648306385869,45973567.5,0.986458458397947,15.555981768156,15.4564944231615,-0.749917086031163,-0.173615281751361,0.659924858058136,-0.0618067792076383,0.0272875423133472,0.445339816822609
"O08705","P11688",38158096.7303536,6462984.57204545,4941000.153429,0.929361878163399,0.217624081097739,0.361571292943159,0.121795488320657,19675170.25,0.992840341750194,15.2764112509985,15.5575801655996,-0.181044577057018,-0.662790561244401,-0.191425065401075,0.670642749464302,-0.0629916731186137,-0.197419907276699
"P11911","O88551",31688251.9300261,3652141.37988636,5683733.98348258,0.883946161610416,-0.145683305637583,-0.144033919011677,-0.158332582076511,21333989.57,0.990778112029661,14.047794583176,15.3082441709936,0,-0.019654287238577,0,0.00453488163937643,-0.0583683795705557,-0.141545518511232
"P00416","P15208",78346237.5224308,6119816.41363636,15542004.037908,0.415700288457969,-0.258512678117946,-0.213862433717634,-0.324822164215581,76673347.5,0.960160705626572,14.6560676946919,14.8328824942909,-0.0319264609567189,-0.68373331920405,-0.19704657364451,0.789162953732338,0.130422844358872,0.455254528032512
